1097999,1 Gerber 2nd FOODS,99
1097999,"1 jar, NFS",113
1097999,1 tablespoon,14
1098000,1 Beech-Nut Stage 3,170
1098000,"1 jar, NFS",170
1098000,1 tablespoon,14
1098002,1 cracker-size slice,9
1098002,1 stick,28
1098002,1 slice,21
1098002,1 cubic inch,17.3
1098002,"1 cup, melted",244
1098003,1 cracker-size slice,9
1098003,1 slice,21
1098003,1 cubic inch,17.3
1098003,"1 cup, crumbled",135
1098004,1 cracker-size slice,9
1098004,1 slice,21
1098004,1 cubic inch,17.2
1098004,"1 cup, shredded",113
1098004,"1 cup, diced",132
1098004,"1 cup, NFS",113
1098005,1 wedge (1.33 oz),38
1098005,1 cubic inch,17
1098006,1 package (4.5 oz),128
1098006,1 cubic inch,17
1098006,"1 cup, melted",240
1098006,"1 cup, sliced",144
1098006,"1 cup, NFS",144
1098007,1 cracker-size slice,9
1098007,1 stick,28.35
1098007,1 slice,21
1098007,1 cubic inch,17
1098007,"1 cup, cubed",132
1098007,"1 cup, shredded",113
1098007,"1 cup, melted",244
1098007,"1 cup, diced",132
1098007,"1 cup, NFS",113
1098008,1 cracker-size slice,9
1098008,1 stick,28.35
1098008,1 slice,21
1098008,1 cubic inch,17
1098008,"1 cup, cubed",132
1098008,"1 cup, shredded",113
1098008,"1 cup, melted",244
1098008,"1 cup, diced",132
1098008,"1 cup, NFS",113
1098009,1 cracker-size slice,9
1098009,1 stick,28.35
1098009,1 slice,21
1098009,1 cubic inch,17
1098009,"1 cup, cubed",132
1098009,"1 cup, melted",244
1098009,"1 cup, shredded",113
1098009,"1 cup, diced",140
1098009,"1 cup, NFS",113
1098010,1 cracker-size slice,9
1098010,1 stick,28.35
1098010,1 slice,21
1098010,1 cubic inch,17.2
1098010,"1 cup, melted",244
1098010,"1 cup, shredded",113
1098010,"1 cup, diced",132
1098010,"1 cup, NFS",113
1098011,1 cracker-size slice,9
1098011,1 stick,28.35
1098011,1 slice,21
1098011,1 cubic inch,17
1098011,"1 cup, shredded",113
1098011,"1 cup, melted",244
1098011,"1 cup, diced",132
1098011,"1 cup, NFS",113
1098012,1 wedge (1.33 oz),38
1098012,1 cubic inch,17
1098012,"1 cup, crumbled",150
1098013,1 cracker-size slice,9
1098013,1 slice,21
1098013,1 cubic inch,15
1098013,"1 cup, shredded",108
1098013,"1 cup, diced",132
1098013,"1 cup, NFS",108
1098014,1 cubic inch,25
1098014,"1 cup, crumbled",140
1098015,1 cracker-size slice,9
1098015,1 slice,21
1098015,1 package (7 oz),198
1098015,1 cubic inch,17
1098015,"1 cup, diced",132
1098016,1 cracker-size slice,9
1098016,1 slice,21
1098016,1 package (6 oz),170
1098016,1 cubic inch,15
1098016,"1 cup, shredded",108
1098016,"1 cup, diced",132
1098016,"1 cup, NFS",108
1098017,1 package (8 oz),227
1098017,1 box,113
1098017,1 cubic inch,18
1098018,1 cracker-size slice,9
1098018,1 slice,21
1098018,1 cubic inch,17.2
1098018,"1 cup, shredded",113
1098018,"1 cup, melted",244
1098018,"1 cup, diced",132
1098018,"1 cup, NFS",113
1098019,1 cracker-size slice,9
1098019,1 slice,21
1098019,1 cubic inch,16.6
1098019,"1 cup, melted",244
1098019,"1 cup, shredded",113
1098019,"1 cup, diced",132
1098019,"1 cup, NFS",113
1098020,1 cracker-size slice,9
1098020,1 stick,28.35
1098020,1 slice,21
1098020,1 cheese curd,4
1098020,1 cubic inch,18
1098020,"1 cup, shredded",113
1098020,"1 cup, melted",244
1098020,"1 cup, diced",132
1098020,"1 cup, NFS",113
1098021,1 cracker-size slice,9
1098021,1 string,4.7
1098021,1 stick,28.35
1098021,1 slice,21
1098021,1 cubic inch,17.6
1098021,"1 cup, shredded",113
1098021,"1 cup, melted",244
1098021,"1 cup, diced",132
1098021,"1 cup, NFS",113
1098022,1 cracker-size slice,9
1098022,1 stick,28.35
1098022,1 slice,21
1098022,1 cubic inch,18
1098022,"1 cup, melted",244
1098022,"1 cup, shredded",113
1098022,"1 cup, diced",132
1098022,"1 cup, NFS",113
1098023,1 cracker-size slice,9
1098023,1 string,4.7
1098023,1 stick,28.35
1098023,1 slice,21
1098023,1 cubic inch,17.6
1098023,"1 cup, melted",244
1098023,"1 cup, shredded",113
1098023,"1 cup, NFS",113
1098024,1 cracker-size slice,9
